Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210750019!V29102835
Total Test Time,-2544
DUTResult,Passed
Date Time,20210405084857
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,4.06E-05
End,,,,,Done,2.19E-05
7.0.0 Error Code Check,FF,,FF,FF,Passed,5.12E-05
7.0.1 Enter Torque mode,True,,True,True,Passed,7.66E-05
7.4.1 Power Test U Current OP4(0),416.215278433871,A,400,500,Passed,0.3614165
7.4.2 Power Test V Current OP4(0),422.270357864275,A,400,500,Passed,0.1733485
7.4.3 Power Test W Current OP4(0),426.870944544096,A,400,500,Passed,0.1758192
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),22,deg,20,99,Passed,0.0001536
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),71,deg,20,99,Passed,0.0001476
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),23,deg,20,99,Passed,0.0001705
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),29,deg,20,99,Passed,0.0001886
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001988
7.4.9 Power Test FSEVBHV_Voltage OP4(0),379,V,360,410,Passed,0.0002073
7.4.10 Power Test FTEABHV_UbatHV OP4(0),389,V,360,410,Passed,0.0001769
7.4.11 Power Test SAEABHV_Voltage OP4(0),379,V,360,410,Passed,0.000452
7.8.1 Power Test U Current OP8(0),417.02871896052,A,400,500,Passed,0.1815635
7.8.2 Power Test V Current OP8(0),421.933779460558,A,400,500,Passed,0.3464908
7.8.3 Power Test W Current OP8(0),424.270863024046,A,400,500,Passed,0.1733185
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),22,deg,20,99,Passed,0.0002761
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),73,deg,20,99,Passed,0.0001995
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),24,deg,20,99,Passed,0.0001681
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),37,deg,20,99,Passed,0.0001713
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0004343
7.8.9 Power Test FSEVBHV_Voltage OP8(0),380,V,360,410,Passed,0.0005205
7.8.10 Power Test FTEABHV_UbatHV OP8(0),390,V,360,410,Passed,0.0001787
7.8.11 Power Test SAEABHV_Voltage OP8(0),380,V,360,410,Passed,0.0002857
7.4.1 Power Test U Current OP4(1),417.129409431053,A,400,500,Passed,0.2003556
7.4.2 Power Test V Current OP4(1),422.129779923633,A,400,500,Passed,0.3190755
7.4.3 Power Test W Current OP4(1),424.287725038728,A,400,500,Passed,0.1762376
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),23,deg,20,99,Passed,0.0001434
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),73,deg,20,99,Passed,0.0001476
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),25,deg,20,99,Passed,0.0001875
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),41,deg,20,99,Passed,0.000221
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0002126
7.4.9 Power Test FSEVBHV_Voltage OP4(1),377,V,360,410,Passed,0.0001773
7.4.10 Power Test FTEABHV_UbatHV OP4(1),387,V,360,410,Passed,0.0001949
7.4.11 Power Test SAEABHV_Voltage OP4(1),377,V,360,410,Passed,0.0002094
7.8.1 Power Test U Current OP8(1),416.311359559424,A,400,500,Passed,0.1793078
7.8.2 Power Test V Current OP8(1),420.26450050341,A,400,500,Passed,0.3242096
7.8.3 Power Test W Current OP8(1),423.573220146642,A,400,500,Passed,0.1724488
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),24,deg,20,99,Passed,0.0002624
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),74,deg,20,99,Passed,0.0001811
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(1),27,deg,20,99,Passed,0.0001607
7.8.7 Power Test AN_CTP_COOLING_F OP8(1),43,deg,20,99,Passed,0.000179
7.8.8 Power Test FSEVBLV_Voltage OP8(1),15,V,14,17,Passed,0.0001935
7.8.9 Power Test FSEVBHV_Voltage OP8(1),378,V,360,410,Passed,0.0001829
7.8.10 Power Test FTEABHV_UbatHV OP8(1),388,V,360,410,Passed,0.000197
7.8.11 Power Test SAEABHV_Voltage OP8(1),378,V,360,410,Passed,0.0001917
7.4.1 Power Test U Current OP4(2),416.03396658538,A,400,500,Passed,0.1914966
7.4.2 Power Test V Current OP4(2),421.400259024678,A,400,500,Passed,0.324133
7.4.3 Power Test W Current OP4(2),422.983572172921,A,400,500,Passed,0.1733167
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(2),25,deg,20,99,Passed,0.0004989
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(2),74,deg,20,99,Passed,0.0001758
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(2),28,deg,20,99,Passed,0.0001635
7.4.7 Power Test AN_CTP_COOLING_F OP4(2),45,deg,20,99,Passed,0.0001755
7.4.8 Power Test FSEVBLV_Voltage OP4(2),9,V,9,12,Passed,0.0001624
7.4.9 Power Test FSEVBHV_Voltage OP4(2),379,V,360,410,Passed,0.0001804
7.4.10 Power Test FTEABHV_UbatHV OP4(2),388,V,360,410,Passed,0.0001727
7.4.11 Power Test SAEABHV_Voltage OP4(2),379,V,360,410,Passed,0.0002101
7.8.1 Power Test U Current OP8(2),419.270584250748,A,400,500,Passed,0.3279281
7.8.2 Power Test V Current OP8(2),421.426433249701,A,400,500,Passed,0.3244818
7.8.3 Power Test W Current OP8(2),422.980194729712,A,400,500,Passed,0.1797852
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(2),26,deg,20,99,Passed,0.000304
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(2),75,deg,20,99,Passed,0.0001705
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(2),30,deg,20,99,Passed,0.0116069
7.8.7 Power Test AN_CTP_COOLING_F OP8(2),46,deg,20,99,Passed,0.0001928
7.8.8 Power Test FSEVBLV_Voltage OP8(2),15,V,14,17,Passed,0.0001871
7.8.9 Power Test FSEVBHV_Voltage OP8(2),377,V,360,410,Passed,0.0001974
7.8.10 Power Test FTEABHV_UbatHV OP8(2),387,V,360,410,Passed,0.0001924
7.8.11 Power Test SAEABHV_Voltage OP8(2),377,V,360,410,Passed,0.0001992
7.4.1 Power Test U Current OP4(3),414.401061814598,A,400,500,Passed,0.2222357
7.4.2 Power Test V Current OP4(3),422.001492705763,A,400,500,Passed,0.3241669
7.4.3 Power Test W Current OP4(3),425.208414235432,A,400,500,Passed,0.1783534
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(3),27,deg,20,99,Passed,0.0001522
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(3),74,deg,20,99,Passed,0.0001677
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(3),32,deg,20,99,Passed,0.0002285
7.4.7 Power Test AN_CTP_COOLING_F OP4(3),47,deg,20,99,Passed,0.0001645
7.4.8 Power Test FSEVBLV_Voltage OP4(3),9,V,9,12,Passed,0.0001667
7.4.9 Power Test FSEVBHV_Voltage OP4(3),379,V,360,410,Passed,0.0002006
7.4.10 Power Test FTEABHV_UbatHV OP4(3),387,V,360,410,Passed,0.0001935
7.4.11 Power Test SAEABHV_Voltage OP4(3),379,V,360,410,Passed,0.000196
7.8.1 Power Test U Current OP8(3),413.912815545657,A,400,500,Passed,0.2235729
7.8.2 Power Test V Current OP8(3),420.81166291532,A,400,500,Passed,0.3268303
7.8.3 Power Test W Current OP8(3),424.377424850409,A,400,500,Passed,0.1831902
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(3),28,deg,20,99,Passed,0.0001684
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(3),74,deg,20,99,Passed,0.0001705
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(3),34,deg,20,99,Passed,0.0002779
7.8.7 Power Test AN_CTP_COOLING_F OP8(3),48,deg,20,99,Passed,0.0001518
7.8.8 Power Test FSEVBLV_Voltage OP8(3),15,V,14,17,Passed,0.0001638
7.8.9 Power Test FSEVBHV_Voltage OP8(3),380,V,360,410,Passed,0.0002475
7.8.10 Power Test FTEABHV_UbatHV OP8(3),390,V,360,410,Passed,0.0028298
7.8.11 Power Test SAEABHV_Voltage OP8(3),380,V,360,410,Passed,0.0003054
7.4.1 Power Test U Current OP4(4),415.556821610765,A,400,500,Passed,0.3376713
7.4.2 Power Test V Current OP4(4),419.591283894725,A,400,500,Passed,0.1828544
7.4.3 Power Test W Current OP4(4),423.44740441029,A,400,500,Passed,0.1755208
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(4),29,deg,20,99,Passed,0.0001635
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(4),74,deg,20,99,Passed,0.0001787
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(4),36,deg,20,99,Passed,0.0002267
7.4.7 Power Test AN_CTP_COOLING_F OP4(4),48,deg,20,99,Passed,0.0001554
7.4.8 Power Test FSEVBLV_Voltage OP4(4),9,V,9,12,Passed,0.0001811
7.4.9 Power Test FSEVBHV_Voltage OP4(4),379,V,360,410,Passed,0.0003422
7.4.10 Power Test FTEABHV_UbatHV OP4(4),388,V,360,410,Passed,0.0002278
7.4.11 Power Test SAEABHV_Voltage OP4(4),379,V,360,410,Passed,0.0002419
7.8.1 Power Test U Current OP8(4),417.017824093675,A,400,500,Passed,0.3169706
7.8.2 Power Test V Current OP8(4),421.005394985026,A,400,500,Passed,0.1911135
7.8.3 Power Test W Current OP8(4),423.509787958128,A,400,500,Passed,0.1700339
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(4),30,deg,20,99,Passed,0.0002684
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(4),75,deg,20,99,Passed,0.0001684
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(4),38,deg,20,99,Passed,0.0001677
7.8.7 Power Test AN_CTP_COOLING_F OP8(4),49,deg,20,99,Passed,0.0001868
7.8.8 Power Test FSEVBLV_Voltage OP8(4),15,V,14,17,Passed,0.0001713
7.8.9 Power Test FSEVBHV_Voltage OP8(4),379,V,360,410,Passed,0.0005794
7.8.10 Power Test FTEABHV_UbatHV OP8(4),388,V,360,410,Passed,0.0002511
7.8.11 Power Test SAEABHV_Voltage OP8(4),379,V,360,410,Passed,0.0002097
7.4.1 Power Test U Current OP4(5),413.527475023258,A,400,500,Passed,0.3465127
7.4.2 Power Test V Current OP4(5),421.457057532096,A,400,500,Passed,0.1735109
7.4.3 Power Test W Current OP4(5),423.346282646518,A,400,500,Passed,0.2333539
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(5),31,deg,20,99,Passed,0.0001829
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(5),75,deg,20,99,Passed,0.0001723
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(5),40,deg,20,99,Passed,0.0002323
7.4.7 Power Test AN_CTP_COOLING_F OP4(5),49,deg,20,99,Passed,0.0007034
7.4.8 Power Test FSEVBLV_Voltage OP4(5),9,V,9,12,Passed,0.0002094
7.4.9 Power Test FSEVBHV_Voltage OP4(5),378,V,360,410,Passed,0.0002228
7.4.10 Power Test FTEABHV_UbatHV OP4(5),388,V,360,410,Passed,0.0006303
7.4.11 Power Test SAEABHV_Voltage OP4(5),378,V,360,410,Passed,0.0002256
7.8.1 Power Test U Current OP8(5),416.198855556095,A,400,500,Passed,0.3482581
7.8.2 Power Test V Current OP8(5),420.46516512829,A,400,500,Passed,0.1808601
7.8.3 Power Test W Current OP8(5),422.905723308791,A,400,500,Passed,0.1736797
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(5),33,deg,20,99,Passed,0.0001907
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(5),75,deg,20,99,Passed,0.0041797
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(5),41,deg,20,99,Passed,0.0001992
7.8.7 Power Test AN_CTP_COOLING_F OP8(5),50,deg,20,99,Passed,0.0001857
7.8.8 Power Test FSEVBLV_Voltage OP8(5),15,V,14,17,Passed,0.0002059
7.8.9 Power Test FSEVBHV_Voltage OP8(5),378,V,360,410,Passed,0.000233
7.8.10 Power Test FTEABHV_UbatHV OP8(5),387,V,360,410,Passed,0.0002133
7.8.11 Power Test SAEABHV_Voltage OP8(5),378,V,360,410,Passed,0.0003143
7.4.1 Power Test U Current OP4(6),415.884277778128,A,400,500,Passed,0.3544494
7.4.2 Power Test V Current OP4(6),420.26659997674,A,400,500,Passed,0.1919903
7.4.3 Power Test W Current OP4(6),422.983205285584,A,400,500,Passed,0.1896594
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(6),34,deg,20,99,Passed,0.0001808
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(6),75,deg,20,99,Passed,0.0001893
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(6),43,deg,20,99,Passed,0.0002345
7.4.7 Power Test AN_CTP_COOLING_F OP4(6),51,deg,20,99,Passed,0.0002903
7.4.8 Power Test FSEVBLV_Voltage OP4(6),9,V,9,12,Passed,0.0005964
7.4.9 Power Test FSEVBHV_Voltage OP4(6),379,V,360,410,Passed,0.0001702
7.4.10 Power Test FTEABHV_UbatHV OP4(6),388,V,360,410,Passed,0.0001939
7.4.11 Power Test SAEABHV_Voltage OP4(6),379,V,360,410,Passed,0.0003076
7.8.1 Power Test U Current OP8(6),416.635210738569,A,400,500,Passed,0.3052592
7.8.2 Power Test V Current OP8(6),419.205618249282,A,400,500,Passed,0.177286
7.8.3 Power Test W Current OP8(6),423.459083825655,A,400,500,Passed,0.1734368
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(6),35,deg,20,99,Passed,0.0001713
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(6),76,deg,20,99,Passed,0.00019
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(6),45,deg,20,99,Passed,0.002208
7.8.7 Power Test AN_CTP_COOLING_F OP8(6),51,deg,20,99,Passed,0.0001801
7.8.8 Power Test FSEVBLV_Voltage OP8(6),15,V,14,17,Passed,0.0001762
7.8.9 Power Test FSEVBHV_Voltage OP8(6),380,V,360,410,Passed,0.0001854
7.8.10 Power Test FTEABHV_UbatHV OP8(6),390,V,360,410,Passed,0.0002899
7.8.11 Power Test SAEABHV_Voltage OP8(6),380,V,360,410,Passed,0.0002355
7.4.1 Power Test U Current OP4(7),413.263546970234,A,400,500,Passed,0.2064852
7.4.2 Power Test V Current OP4(7),422.250053355649,A,400,500,Passed,0.3298921
7.4.3 Power Test W Current OP4(7),422.870047739398,A,400,500,Passed,0.1772083
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(7),36,deg,20,99,Passed,0.0001635
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(7),76,deg,20,99,Passed,0.0005025
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(7),46,deg,20,99,Passed,0.0001614
7.4.7 Power Test AN_CTP_COOLING_F OP4(7),52,deg,20,99,Passed,0.0137654
7.4.8 Power Test FSEVBLV_Voltage OP4(7),9,V,9,12,Passed,0.0001762
7.4.9 Power Test FSEVBHV_Voltage OP4(7),377,V,360,410,Passed,0.0001889
7.4.10 Power Test FTEABHV_UbatHV OP4(7),387,V,360,410,Passed,0.0004633
7.4.11 Power Test SAEABHV_Voltage OP4(7),377,V,360,410,Passed,0.0002955
7.8.1 Power Test U Current OP8(7),415.068568526941,A,400,500,Passed,0.3393913
7.8.2 Power Test V Current OP8(7),421.220291458004,A,400,500,Passed,0.1757909
7.8.3 Power Test W Current OP8(7),424.341543711486,A,400,500,Passed,0.1730244
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(7),37,deg,20,99,Passed,0.0002203
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(7),76,deg,20,99,Passed,0.0001691
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(7),48,deg,20,99,Passed,0.000226
7.8.7 Power Test AN_CTP_COOLING_F OP8(7),52,deg,20,99,Passed,0.0001737
7.8.8 Power Test FSEVBLV_Voltage OP8(7),15,V,14,17,Passed,0.0001698
7.8.9 Power Test FSEVBHV_Voltage OP8(7),379,V,360,410,Passed,0.0001942
7.8.10 Power Test FTEABHV_UbatHV OP8(7),387,V,360,410,Passed,0.0002472
7.8.11 Power Test SAEABHV_Voltage OP8(7),379,V,360,410,Passed,0.0002422
7.4.1 Power Test U Current OP4(8),415.258175411526,A,400,500,Passed,0.3556616
7.4.2 Power Test V Current OP4(8),420.684620250426,A,400,500,Passed,0.1907067
7.4.3 Power Test W Current OP4(8),423.166060454456,A,400,500,Passed,0.1682313
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(8),38,deg,20,99,Passed,0.0002726
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(8),77,deg,20,99,Passed,0.0004205
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(8),50,deg,20,99,Passed,0.0001854
7.4.7 Power Test AN_CTP_COOLING_F OP4(8),53,deg,20,99,Passed,0.0002235
7.4.8 Power Test FSEVBLV_Voltage OP4(8),9,V,9,12,Passed,0.0001617
7.4.9 Power Test FSEVBHV_Voltage OP4(8),379,V,360,410,Passed,0.0002009
7.4.10 Power Test FTEABHV_UbatHV OP4(8),388,V,360,410,Passed,0.0002973
7.4.11 Power Test SAEABHV_Voltage OP4(8),379,V,360,410,Passed,0.0005932
7.8.1 Power Test U Current OP8(8),417.549310906411,A,400,500,Passed,0.3553615
7.8.2 Power Test V Current OP8(8),420.859287536248,A,400,500,Passed,0.175911
7.8.3 Power Test W Current OP8(8),423.270192765805,A,400,500,Passed,0.1769057
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(8),39,deg,20,99,Passed,0.00022
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(8),77,deg,20,99,Passed,0.0005784
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(8),51,deg,20,99,Passed,0.0001607
7.8.7 Power Test AN_CTP_COOLING_F OP8(8),53,deg,20,99,Passed,0.0001871
7.8.8 Power Test FSEVBLV_Voltage OP8(8),15,V,14,17,Passed,0.0001755
7.8.9 Power Test FSEVBHV_Voltage OP8(8),378,V,360,410,Passed,0.0002112
7.8.10 Power Test FTEABHV_UbatHV OP8(8),387,V,360,410,Passed,0.0037747
7.8.11 Power Test SAEABHV_Voltage OP8(8),378,V,360,410,Passed,0.000298
7.4.1 Power Test U Current OP4(9),418.327918028752,A,400,500,Passed,0.3272195
7.4.2 Power Test V Current OP4(9),423.409799015663,A,400,500,Passed,0.1833438
7.4.3 Power Test W Current OP4(9),423.820615492781,A,400,500,Passed,0.2256898
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(9),40,deg,20,99,Passed,0.0001698
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(9),75,deg,20,99,Passed,0.0001737
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(9),53,deg,20,99,Passed,0.0001879
7.4.7 Power Test AN_CTP_COOLING_F OP4(9),53,deg,20,99,Passed,0.0001787
7.4.8 Power Test FSEVBLV_Voltage OP4(9),9,V,9,12,Passed,0.0001758
7.4.9 Power Test FSEVBHV_Voltage OP4(9),377,V,360,410,Passed,0.0001773
7.4.10 Power Test FTEABHV_UbatHV OP4(9),388,V,360,410,Passed,0.0002765
7.4.11 Power Test SAEABHV_Voltage OP4(9),377,V,360,410,Passed,0.0002133
7.8.1 Power Test U Current OP8(9),417.013048309278,A,400,500,Passed,0.2885281
7.8.2 Power Test V Current OP8(9),421.741280250015,A,400,500,Passed,0.1854716
7.8.3 Power Test W Current OP8(9),420.96347544699,A,400,500,Passed,0.1869536
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(9),41,deg,20,99,Passed,0.0001787
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(9),73,deg,20,99,Passed,0.0002549
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(9),54,deg,20,99,Passed,0.0001755
7.8.7 Power Test AN_CTP_COOLING_F OP8(9),53,deg,20,99,Passed,0.0005
7.8.8 Power Test FSEVBLV_Voltage OP8(9),15,V,14,17,Passed,0.0001836
7.8.9 Power Test FSEVBHV_Voltage OP8(9),378,V,360,410,Passed,0.0002482
7.8.10 Power Test FTEABHV_UbatHV OP8(9),388,V,360,410,Passed,0.0002087
7.8.11 Power Test SAEABHV_Voltage OP8(9),378,V,360,410,Passed,0.0005819
7.4.1 Power Test U Current OP4(10),416.004350720919,A,400,500,Passed,0.3057296
7.4.2 Power Test V Current OP4(10),421.630954291607,A,400,500,Passed,0.1770017
7.4.3 Power Test W Current OP4(10),423.65993477426,A,400,500,Passed,0.1760784
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(10),42,deg,20,99,Passed,0.0001684
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(10),72,deg,20,99,Passed,0.0001543
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(10),56,deg,20,99,Passed,0.0001653
7.4.7 Power Test AN_CTP_COOLING_F OP4(10),52,deg,20,99,Passed,0.0001684
7.4.8 Power Test FSEVBLV_Voltage OP4(10),9,V,9,12,Passed,0.0001684
7.4.9 Power Test FSEVBHV_Voltage OP4(10),378,V,360,410,Passed,0.0001868
7.4.10 Power Test FTEABHV_UbatHV OP4(10),390,V,360,410,Passed,0.0002631
7.4.11 Power Test SAEABHV_Voltage OP4(10),378,V,360,410,Passed,0.0002504
7.8.1 Power Test U Current OP8(10),416.310516267475,A,400,500,Passed,0.3109732
7.8.2 Power Test V Current OP8(10),421.860059989536,A,400,500,Passed,0.1824543
7.8.3 Power Test W Current OP8(10),424.453166897597,A,400,500,Passed,0.177096
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(10),43,deg,20,99,Passed,0.0001769
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(10),71,deg,20,99,Passed,0.000167
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(10),57,deg,20,99,Passed,0.0001928
7.8.7 Power Test AN_CTP_COOLING_F OP8(10),52,deg,20,99,Passed,0.0004654
7.8.8 Power Test FSEVBLV_Voltage OP8(10),15,V,14,17,Passed,0.0001914
7.8.9 Power Test FSEVBHV_Voltage OP8(10),377,V,360,410,Passed,0.0002062
7.8.10 Power Test FTEABHV_UbatHV OP8(10),387,V,360,410,Passed,0.000227
7.8.11 Power Test SAEABHV_Voltage OP8(10),377,V,360,410,Passed,0.0002454
7.4.1 Power Test U Current OP4(11),419.32276995072,A,400,500,Passed,0.3524893
7.4.2 Power Test V Current OP4(11),421.92162685927,A,400,500,Passed,0.1770882
7.4.3 Power Test W Current OP4(11),423.275859869201,A,400,500,Passed,0.17687
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(11),44,deg,20,99,Passed,0.0001811
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(11),71,deg,20,99,Passed,0.0002405
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(11),58,deg,20,99,Passed,0.000184
7.4.7 Power Test AN_CTP_COOLING_F OP4(11),51,deg,20,99,Passed,0.0001723
7.4.8 Power Test FSEVBLV_Voltage OP4(11),9,V,9,12,Passed,0.0001875
7.4.9 Power Test FSEVBHV_Voltage OP4(11),378,V,360,410,Passed,0.0001826
7.4.10 Power Test FTEABHV_UbatHV OP4(11),387,V,360,410,Passed,0.0002931
7.4.11 Power Test SAEABHV_Voltage OP4(11),378,V,360,410,Passed,0.0002892
7.8.1 Power Test U Current OP8(11),417.127515794936,A,400,500,Passed,0.3241446
7.8.2 Power Test V Current OP8(11),421.962893635242,A,400,500,Passed,0.1811835
7.8.3 Power Test W Current OP8(11),423.694234945002,A,400,500,Passed,0.1788386
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(11),45,deg,20,99,Passed,0.0001871
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(11),70,deg,20,99,Passed,0.0001691
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(11),59,deg,20,99,Passed,0.0002451
7.8.7 Power Test AN_CTP_COOLING_F OP8(11),51,deg,20,99,Passed,0.0001931
7.8.8 Power Test FSEVBLV_Voltage OP8(11),15,V,14,17,Passed,0.000244
7.8.9 Power Test FSEVBHV_Voltage OP8(11),377,V,360,410,Passed,0.0002083
7.8.10 Power Test FTEABHV_UbatHV OP8(11),387,V,360,410,Passed,0.0002458
